OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
THORAD AGENA D DEB,13.15924639,5203,7578.463,109.429,DEBRIS,SMALL,1208.463,6
COSMOS 397 DEB,13.35143967,5197,7505.56,107.854,DEBRIS,SMALL,1135.56,6
OPS 4682 DEB,12.99042483,38397,7643.981,110.851,DEBRIS,SMALL,1273.981,6
SL-8 R/B,13.2068655,5181,7560.236,109.034,ROCKET BODY,LARGE,1190.236,6
OPS 4682 DEB,12.96962032,38396,7652.153,111.029,DEBRIS,SMALL,1282.153,6
COSMOS 252 DEB *,13.13023971,5322,7589.621,109.671,DEBRIS,SMALL,1219.621,6
OPS 4682 DEB,12.97311957,38391,7650.777,110.999,DEBRIS,SMALL,1280.777,6
COSMOS 374 DEB,12.93682225,5337,7665.081,111.31,DEBRIS,SMALL,1295.081,6
OPS 4682 DEB,12.9917405,38381,7643.465,110.84,DEBRIS,SMALL,1273.465,6
OPS 4682 DEB,12.95916283,38382,7656.269,111.118,DEBRIS,SMALL,1286.269,6
TBA - TO BE ASSIGNED,13.03420015,270015,7626.857,110.479,UNKNOWN,,1256.857,6
BREEZE-KM R/B,12.80524062,40556,7717.501,112.454,ROCKET BODY,LARGE,1347.501,6
THORAD AGENA D DEB,13.10897241,5389,7597.827,109.848,DEBRIS,SMALL,1227.827,6
TBA - TO BE ASSIGNED,13.132121,81329,7588.896,109.655,UNKNOWN,,1218.896,6
TBA - TO BE ASSIGNED,12.88563954,81341,7685.365,111.752,UNKNOWN,,1315.365,6
OPS 4682 DEB,12.95971003,38383,7656.054,111.114,DEBRIS,SMALL,1286.054,6
OPS 4682 DEB,12.97663069,38384,7649.397,110.969,DEBRIS,SMALL,1279.397,6
THORAD AGENA D DEB,13.35829342,5388,7502.993,107.798,DEBRIS,,1132.993,6
OPS 4682 DEB,12.96032924,38385,7655.81,111.108,DEBRIS,SMALL,1285.81,6
OPS 4682 DEB,13.00240526,38386,7639.285,110.749,DEBRIS,SMALL,1269.285,6
OPS 4682 DEB,12.95775256,38387,7656.825,111.13,DEBRIS,SMALL,1286.825,6
OPS 4682 DEB,12.99091581,38388,7643.789,110.847,DEBRIS,SMALL,1273.789,6
OPS 4682 DEB,12.99181142,38389,7643.437,110.839,DEBRIS,SMALL,1273.437,6
OPS 4682 DEB,12.96897736,38390,7652.406,111.034,DEBRIS,SMALL,1282.406,6
SL-8 DEB,13.09554869,2334,7603.018,109.961,DEBRIS,SMALL,1233.018,6
OPS 4682 DEB,12.93332476,38442,7666.463,111.34,DEBRIS,SMALL,1296.463,6
COSMOS 375 DEB,13.03740445,4635,7625.607,110.451,DEBRIS,MEDIUM,1255.607,6
COSMOS 375 DEB,13.01090549,4629,7635.957,110.676,DEBRIS,MEDIUM,1265.957,6
OPS 4682 DEB,12.99742942,38443,7641.235,110.791,DEBRIS,SMALL,1271.235,6
TBA - TO BE ASSIGNED,12.94963641,270091,7660.024,111.2,UNKNOWN,,1290.024,6
