OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
IRIDIUM 33 DEB,14.83171011,34098,6997.47,97.089,DEBRIS,SMALL,627.47,0
IRIDIUM 33 DEB,14.91695807,34354,6970.785,96.534,DEBRIS,SMALL,600.785,0
COSMOS 1707,15.14710252,16326,6899.995,95.068,PAYLOAD,LARGE,529.995,0
SL-14 R/B,14.83511971,16327,6996.397,97.067,ROCKET BODY,LARGE,626.397,0
COSMOS 2251 DEB,15.02478862,34337,6937.392,95.842,DEBRIS,SMALL,567.392,0
COSMOS 2251 DEB,15.08000058,34315,6920.449,95.491,DEBRIS,SMALL,550.449,0
COSMOS 2251 DEB,15.014034,34293,6940.705,95.91,DEBRIS,SMALL,570.705,0
SL-14 R/B,14.83439009,16720,6996.627,97.072,ROCKET BODY,LARGE,626.627,0
COSMOS 2251 DEB,14.7885896,34292,7011.065,97.372,DEBRIS,SMALL,641.065,0
PSLV DEB,15.0149488,34221,6940.423,95.904,DEBRIS,SMALL,570.423,0
CBERS 1 DEB,14.82292348,34213,7000.235,97.147,DEBRIS,SMALL,630.235,0
CBERS 1 DEB,14.76181533,34209,7019.54,97.549,DEBRIS,SMALL,649.54,0
CBERS 1 DEB,14.99030711,34208,6948.027,96.062,DEBRIS,SMALL,578.027,0
CBERS 1 DEB,14.88983746,34207,6979.246,96.71,DEBRIS,SMALL,609.246,0
IRIDIUM 33 DEB,14.73403844,34104,7028.36,97.733,DEBRIS,SMALL,658.36,0
COSMOS 2251 DEB,15.02605493,34277,6937.003,95.834,DEBRIS,SMALL,567.003,0
TBA - TO BE ASSIGNED,14.79765857,81357,7008.2,97.313,TBA,,638.2,0
IRIDIUM 33 DEB,14.83848884,33956,6995.338,97.045,DEBRIS,SMALL,625.338,0
COSMOS 2251 DEB,14.94628249,33921,6961.664,96.345,DEBRIS,SMALL,591.664,0
ARIANE 1 DEB,14.81720732,17316,7002.035,97.184,DEBRIS,SMALL,632.035,0
SL-14 R/B,14.83338751,17296,6996.942,97.078,ROCKET BODY,LARGE,626.942,0
COSMOS 1812,15.16040359,17295,6895.959,94.984,PAYLOAD,LARGE,525.959,0
FENGYUN 1C DEB,14.74596515,33668,7024.569,97.654,DEBRIS,SMALL,654.569,0
FENGYUN 1C DEB,14.75084107,33680,7023.021,97.622,DEBRIS,SMALL,653.021,0
FENGYUN 1C DEB,14.84577429,33700,6993.05,96.997,DEBRIS,SMALL,623.05,0
FENGYUN 1C DEB,14.81681144,33708,7002.16,97.187,DEBRIS,SMALL,632.16,0
ARIANE 1 DEB,14.81100676,17233,7003.989,97.225,DEBRIS,SMALL,633.989,0
ARIANE 1 DEB,15.00261179,17212,6944.227,95.983,DEBRIS,SMALL,574.227,0
SL-14 R/B,14.83650089,17192,6995.963,97.058,ROCKET BODY,LARGE,625.963,0
COSMOS 1805,15.13037855,17191,6905.079,95.173,PAYLOAD,LARGE,535.079,0
