OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
FENGYUN 1C DEB,14.08087166,39113,7244.062,102.266,DEBRIS,SMALL,874.062,7
FENGYUN 1C DEB,14.12292038,30417,7229.676,101.962,DEBRIS,SMALL,859.676,7
FENGYUN 1C DEB,14.12196204,30413,7230.003,101.969,DEBRIS,SMALL,860.003,7
FENGYUN 1C DEB,13.98178453,30393,7278.247,102.991,DEBRIS,SMALL,908.247,7
FENGYUN 1C DEB,14.03189476,30392,7260.908,102.623,DEBRIS,SMALL,890.908,7
FENGYUN 1C DEB,14.08305408,30391,7243.313,102.251,DEBRIS,SMALL,873.313,7
FENGYUN 1C DEB,14.21010124,30371,7200.076,101.336,DEBRIS,SMALL,830.076,7
FENGYUN 1C DEB,13.9702072,30377,7282.267,103.076,DEBRIS,SMALL,912.267,7
DANDE,14.25380584,39267,7185.35,101.026,PAYLOAD,MEDIUM,815.35,7
FENGYUN 1C DEB,14.06000413,30379,7251.228,102.418,DEBRIS,SMALL,881.228,7
FENGYUN 1C DEB,14.05528547,30381,7252.851,102.453,DEBRIS,SMALL,882.851,7
EPSILON R/B,14.01067997,39255,7268.236,102.779,ROCKET BODY,LARGE,898.236,7
FENGYUN 1C DEB,14.17321622,30382,7212.562,101.6,DEBRIS,SMALL,842.562,7
FENGYUN 1C DEB,14.12790388,30387,7227.976,101.926,DEBRIS,SMALL,857.976,7
FENGYUN 1C DEB,14.14480318,30388,7222.218,101.804,DEBRIS,SMALL,852.218,7
FENGYUN 1C DEB,14.23109759,30389,7192.992,101.187,DEBRIS,SMALL,822.992,7
FENGYUN 1C DEB,14.15278349,30390,7219.502,101.747,DEBRIS,SMALL,849.502,7
CZ-4C DEB,14.12086881,39231,7230.376,101.977,DEBRIS,SMALL,860.376,7
SL-24 R/B,14.06358877,39228,7249.995,102.392,ROCKET BODY,LARGE,879.995,7
