OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
SL-8 DEB *,15.03133136,14803,6935.379,95.8,DEBRIS,SMALL,565.379,0
SL-8 DEB,14.85211119,14805,6991.06,96.956,DEBRIS,SMALL,621.06,0
SL-8 DEB *,14.96281924,14807,6956.534,96.239,DEBRIS,SMALL,586.534,0
SL-16 R/B,14.78642175,25861,7011.75,97.387,ROCKET BODY,LARGE,641.75,0
OKEAN O,14.76736292,25860,7017.782,97.512,PAYLOAD,LARGE,647.782,0
FENGYUN 1C DEB,14.91275792,32166,6972.093,96.562,DEBRIS,SMALL,602.093,0
COSMOS 1733,15.17844159,16611,6890.494,94.871,PAYLOAD,LARGE,520.494,0
SL-14 R/B,14.84304695,16612,6993.906,97.015,ROCKET BODY,LARGE,623.906,0
HINCUBE,14.82249991,39445,7000.368,97.15,PAYLOAD,SMALL,630.368,0
THORAD AGENA D DEB,14.73454978,5694,7028.197,97.729,DEBRIS,SMALL,658.197,0
COSMOS 1842,15.12634859,17911,6906.305,95.198,PAYLOAD,LARGE,536.305,0
SL-14 R/B,14.83081048,17912,6997.753,97.095,ROCKET BODY,LARGE,627.753,0
SOHLA-1 (MAIDO-1),14.71930471,33496,7033.049,97.831,PAYLOAD,MEDIUM,663.049,0
TBA - TO BE ASSIGNED,14.89759333,87423,6976.824,96.66,TBA,,606.824,0
CZ-2C R/B,15.04975483,43084,6929.718,95.683,ROCKET BODY,LARGE,559.718,0
CZ-2C R/B,15.23181055,45463,6874.39,94.539,ROCKET BODY,LARGE,504.39,0
STARLINK-1285,15.05584879,45410,6927.848,95.644,PAYLOAD,LARGE,557.848,0
PEGASUS DEB,14.78795024,24197,7011.267,97.377,DEBRIS,SMALL,641.267,0
TBA - TO BE ASSIGNED,14.81754346,87468,7001.929,97.182,TBA,,631.929,0
H-2A R/B,14.87548701,33500,6983.734,96.804,ROCKET BODY,LARGE,613.734,0
KAGAYAKI,14.72222048,33495,7032.12,97.811,PAYLOAD,MEDIUM,662.12,0
PEGASUS DEB,15.07101152,24163,6923.2,95.548,DEBRIS,SMALL,553.2,0
COSMOS 252 DEB *,14.97712096,5595,6952.104,96.147,DEBRIS,SMALL,582.104,0
PEGASUS DEB,14.97177793,24138,6953.758,96.181,DEBRIS,SMALL,583.758,0
KORONAS-FOTON,15.15990172,33504,6896.111,94.987,PAYLOAD,LARGE,526.111,0
PEGASUS DEB,15.10147451,24097,6913.887,95.355,DEBRIS,SMALL,543.887,0
PEGASUS DEB,14.89794744,24091,6976.713,96.658,DEBRIS,SMALL,606.713,0
PEGASUS DEB,14.8662607,24082,6986.624,96.864,DEBRIS,MEDIUM,616.624,0
COSMOS 1862,15.06648243,18152,6924.588,95.576,PAYLOAD,LARGE,554.588,0
SL-14 R/B,14.83329589,18153,6996.971,97.079,ROCKET BODY,LARGE,626.971,0
PEGASUS DEB,14.89348998,24007,6978.105,96.687,DEBRIS,SMALL,608.105,0
PEGASUS DEB,14.97862421,23986,6951.639,96.137,DEBRIS,SMALL,581.639,0
COSMOS 1869,15.08554169,18214,6918.754,95.456,PAYLOAD,LARGE,548.754,0
COSMOS 1823 DEB,14.83040052,39816,6997.882,97.098,DEBRIS,SMALL,627.882,0
SL-14 R/B,14.83263539,18215,6997.179,97.083,ROCKET BODY,LARGE,627.179,0
TBA - TO BE ASSIGNED,14.73468799,87382,7028.153,97.729,TBA,,658.153,0
IRIDIUM 33 DEB,14.72734853,39784,7030.488,97.777,DEBRIS,SMALL,660.488,0
BUCCANEER RMM,14.80613321,43014,7005.526,97.257,PAYLOAD,SMALL,635.526,0
SL-8 DEB,14.77121897,5858,7016.561,97.487,DEBRIS,SMALL,646.561,0
EAGLESAT 1,14.80588898,43018,7005.603,97.259,PAYLOAD,SMALL,635.603,0
