OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
FENGYUN 1C DEB,14.46603043,29756,7114.902,99.544,DEBRIS,SMALL,744.902,2
FENGYUN 1C DEB,14.51219491,35146,7099.805,99.227,DEBRIS,SMALL,729.805,2
FENGYUN 1C DEB,14.23369051,29773,7192.118,101.168,DEBRIS,SMALL,822.118,2
FENGYUN 1C DEB,14.21040984,29774,7199.971,101.334,DEBRIS,SMALL,829.971,2
COSMOS 2251 DEB,14.34010563,34913,7156.493,100.418,DEBRIS,SMALL,786.493,2
COSMOS 2251 DEB,14.30745829,34908,7167.376,100.647,DEBRIS,SMALL,797.376,2
FENGYUN 1C DEB,14.2582927,29784,7183.843,100.994,DEBRIS,SMALL,813.843,2
COSMOS 2251 DEB,14.47467121,34907,7112.07,99.484,DEBRIS,SMALL,742.07,2
METEOR 2-5 DEB,14.22230088,28973,7195.958,101.249,DEBRIS,SMALL,825.958,2
FENGYUN 1C DEB,14.30063713,35144,7169.655,100.695,DEBRIS,SMALL,799.655,2
COSMOS 2251 DEB,14.41237715,34998,7132.549,99.914,DEBRIS,SMALL,762.549,2
COSMOS 2251 DEB,14.47287845,34972,7112.658,99.496,DEBRIS,SMALL,742.658,2
DMSP 5D-2 F11 DEB,14.39916293,29088,7136.912,100.006,DEBRIS,SMALL,766.912,2
TRANSIT 15 DEB,14.35777682,29265,7150.62,100.294,DEBRIS,SMALL,780.62,2
DMSP 5D-2 F11 DEB,14.42262052,29087,7129.171,99.843,DEBRIS,SMALL,759.171,2
FENGYUN 1C DEB,14.39747831,35105,7137.469,100.018,DEBRIS,SMALL,767.469,2
DMSP 5D-2 F11 DEB,14.44873431,29083,7120.579,99.663,DEBRIS,SMALL,750.579,2
COSMOS 1408 DEB,14.34034942,49555,7156.412,100.416,DEBRIS,SMALL,786.412,2
DMSP 5D-2 F11 DEB,14.27717128,29078,7177.509,100.86,DEBRIS,SMALL,807.509,2
NOAA 17 DEB,14.33291349,49489,7158.887,100.468,DEBRIS,SMALL,788.887,2
SCOUT B DEB,14.25819245,29277,7183.877,100.995,DEBRIS,SMALL,813.877,2
DMSP 5D-2 F11 DEB,14.31751806,29074,7164.018,100.576,DEBRIS,SMALL,794.018,2
DMSP 5D-2 F11 DEB,14.40061908,29073,7136.431,99.996,DEBRIS,SMALL,766.431,2
NOAA 17 DEB,14.307085,49488,7167.501,100.649,DEBRIS,SMALL,797.501,2
MIRANDA (X-4),14.43134609,7213,7126.297,99.783,PAYLOAD,MEDIUM,756.297,2
DMSP 5D-2 F11 DEB,14.35444876,29070,7151.725,100.317,DEBRIS,SMALL,781.725,2
OPS 8579 (DMSP 5B F5),14.30788079,7218,7167.235,100.644,PAYLOAD,LARGE,797.235,2
COSMOS 2251 DEB,14.41125993,35033,7132.918,99.922,DEBRIS,SMALL,762.918,2
FENGYUN 1C DEB,14.45457489,35110,7118.661,99.622,DEBRIS,SMALL,748.661,2
DMSP 5D-2 F11 DEB,14.40208798,29090,7135.946,99.986,DEBRIS,SMALL,765.946,2
