CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,,,,,,,MASS_kg,AVG_ALTITUDE,,AVG_VELOCITY
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T07:06:18,18 SPCS,ENVISAT,2002-009A,EARTH,TEME,UTC,SGP4,2022-05-31T22:58:36.385248,14.38127171,0.0001299,98.1826,133.8395,88.5545,291.3829,0,U,27386,999,6116,4.76E-05,1.03E-06,0,7142.83,100.13,765.623,763.767,PAYLOAD,LARGE,ESA,3/1/2002,FRGUI,,3474895,205073495,0 ENVISAT,1 27386U 02009A   22151.95736557  .00000103  00000-0  47627-4 0  9999,2 27386  98.1826 133.8395 0001299  88.5545 291.3829 14.38127171 61163,,,,,,,7800,772.83,,7.470226372
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,METEOR 3M,2001-056A,EARTH,TEME,UTC,SGP4,2022-05-31T16:07:44.649984,13.68865575,0.001385,99.6774,298.5615,21.1115,357.8123,0,U,27001,999,2272,2.37E-05,-2.50E-07,0,7381.784,105.197,1013.872,993.425,PAYLOAD,LARGE,CIS,12/10/2001,TTMTR,,3474670,205050413,0 METEOR 3M,1 27001U 01056A   22151.67204456 -.00000025  00000-0  23743-4 0  9998,2 27001  99.6774 298.5615 0013850  21.1115 357.8123 13.68865575 22724,,,,,,,2500,1011.784,,7.348323259
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,ADEOS,1996-046A,EARTH,TEME,UTC,SGP4,2022-05-31T20:32:26.580480,14.29539463,0.0002373,98.9337,154.2995,92.5846,267.5607,0,U,24277,999,34453,4.99E-05,8.10E-07,0,7171.408,100.732,794.974,791.571,PAYLOAD,LARGE,JPN,8/17/1996,TNSTA,,3474670,205050281,0 ADEOS,1 24277U 96046A   22151.85586320  .00000081  00000-0  49937-4 0  9990,2 24277  98.9337 154.2995 0002373  92.5846 267.5607 14.29539463344535,,,,,,,3560,801.408,,7.45532712
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,H-2A R/B,2002-056E,EARTH,TEME,UTC,SGP4,2022-05-31T19:23:04.379712,14.3207183,0.0070962,98.1764,159.4015,311.7458,221.6071,0,U,27601,999,1679,5.05E-05,9.90E-07,0,7162.951,100.554,835.646,733.986,ROCKET BODY,LARGE,JPN,12/14/2002,TNSTA,,3474670,205050934,0 H-2A R/B,1 27601U 02056E   22151.80768958  .00000099  00000-0  50546-4 0  9993,2 27601  98.1764 159.4015 0070962 311.7458 221.6071 14.32071830 16792,,,,,,,3000,792.951,,7.45972692
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:56:12,18 SPCS,SL-12 R/B(2),1984-106B,EARTH,TEME,UTC,SGP4,2022-05-31T21:05:41.183232,14.15096499,0.0001795,71.0026,203.403,60.3804,299.7497,0,U,15334,999,82514,8.80E-05,1.23E-06,0,7220.121,101.76,843.282,840.69,ROCKET BODY,LARGE,CIS,9/28/1984,TTMTR,,3474846,205072182,0 SL-12 R/B(2),1 15334U 84106B   22151.87894888  .00000123  00000-0  87970-4 0  9997,2 15334  71.0026 203.4030 0001795  60.3804 299.7497 14.15096499825144,,,,,,,2440,850.121,,7.430134607
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,CZ-2D R/B,2011-068C,EARTH,TEME,UTC,SGP4,2022-05-31T14:34:33.760416,14.22136671,0.0036569,98.7233,88.3251,200.6054,332.5854,0,U,37932,999,54640,4.05E-05,4.60E-07,0,7196.273,101.256,844.454,791.822,ROCKET BODY,LARGE,PRC,11/20/2011,JSC,,3474670,205056134,0 CZ-2D R/B,1 37932U 11068C   22151.60733519  .00000046  00000-0  40505-4 0  9993,2 37932  98.7233  88.3251 0036569 200.6054 332.5854 14.22136671546403,,,,,,,4000,826.273,,7.442435925
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-8 R/B,1978-028B,EARTH,TEME,UTC,SGP4,2022-05-31T18:45:17.967744,13.75357496,0.0018297,82.9318,347.4588,233.0105,137.9691,0,U,10732,999,21818,-9.98E-06,5.00E-08,0,7358.536,104.7,993.865,966.937,ROCKET BODY,LARGE,CIS,3/15/1978,PKMTR,,3474670,205047026,0 SL-8 R/B,1 10732U 78028B   22151.78145796  .00000005  00000-0 -99806-5 0  9999,2 10732  82.9318 347.4588 0018297 233.0105 137.9691 13.75357496218182,,,,,,,1435,988.536,,7.359921973
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,H-2 R/B,1996-046C,EARTH,TEME,UTC,SGP4,2022-05-31T12:27:22.866624,13.47219323,0.0299747,98.7674,254.4568,354.7332,15.0982,0,U,24279,999,26758,2.18E-05,-2.00E-07,0,7460.644,106.887,1306.139,858.878,ROCKET BODY,LARGE,JPN,8/17/1996,TNSTA,,3474670,205050779,0 H-2 R/B,1 24279U 96046C   22151.51901466 -.00000020  00000-0  21802-4 0  9992,2 24279  98.7674 254.4568 0299747 354.7332  15.0982 13.47219323267584,,,,,,,2700,1090.644,,7.309383709
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T07:16:19,18 SPCS,COSMOS 2322,1995-058A,EARTH,TEME,UTC,SGP4,2022-06-01T03:54:22.326624,14.13466972,0.0011991,70.986,209.9267,243.3141,116.6754,0,U,23704,999,37158,-0.00011737,-2.69E-06,0,7225.669,101.877,856.198,838.87,PAYLOAD,LARGE,CIS,10/31/1995,TTMTR,,3475022,205076750,0 COSMOS 2322,1 23704U 95058A   22152.16275841 -.00000269  00000-0 -11737-3 0  9990,2 23704  70.9860 209.9267 0011991 243.3141 116.6754 14.13466972371589,,,,,,,3250,855.669,,7.427281563
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,SL-8 R/B,1991-007B,EARTH,TEME,UTC,SGP4,2022-05-31T18:00:38.982816,13.76427022,0.002107,82.9199,330.9582,20.2156,339.983,0,U,21090,999,57264,0.00010677,1.20E-06,0,7354.724,104.619,992.085,961.093,ROCKET BODY,LARGE,CIS,2/5/1991,PKMTR,,3474670,205048624,0 SL-8 R/B,1 21090U 91007B   22151.75045119  .00000120  00000-0  10677-3 0  9999,2 21090  82.9199 330.9582 0021070  20.2156 339.9830 13.76427022572641,,,,,,,1435,984.724,,7.361829073
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,COSMOS 2406,2004-021A,EARTH,TEME,UTC,SGP4,2022-05-31T20:25:18.188544,14.11732237,0.0016371,71.0038,305.7764,245.2292,114.7126,0,U,28352,999,92619,-0.0001382,-2.99E-06,0,7231.587,102.002,865.291,841.613,PAYLOAD,LARGE,CIS,6/10/2004,TTMTR,,3474670,205050984,0 COSMOS 2406,1 28352U 04021A   22151.85090496 -.00000299  00000-0 -13820-3 0  9998,2 28352  71.0038 305.7764 0016371 245.2292 114.7126 14.11732237926197,,,,,,,3250,861.587,,7.424241867
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,COSMOS 2278,1994-023A,EARTH,TEME,UTC,SGP4,2022-05-31T18:32:45.543840,14.13862547,0.0010154,71.0511,176.6402,320.3496,39.6882,0,U,23087,999,45001,-8.48E-05,-2.08E-06,0,7224.321,101.849,853.522,838.851,PAYLOAD,LARGE,CIS,4/23/1994,TTMTR,,3474670,205048981,0 COSMOS 2278,1 23087U 94023A   22151.77274935 -.00000208  00000-0 -84830-4 0  9992,2 23087  71.0511 176.6402 0010154 320.3496  39.6882 14.13862547450018,,,,,,,3250,854.321,,7.427974466
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,COSMOS 1943,1988-039A,EARTH,TEME,UTC,SGP4,2022-05-31T19:13:22.207008,14.15215138,0.0011937,71.0039,261.2241,194.6239,336.0299,0,U,19119,999,75783,0.00019929,3.40E-06,0,7219.717,101.751,850.201,832.964,PAYLOAD,LARGE,CIS,5/15/1988,TTMTR,,3474670,205049298,0 COSMOS 1943,1 19119U 88039A   22151.80095147  .00000340  00000-0  19929-3 0  9994,2 19119  71.0039 261.2241 0011937 194.6239 336.0299 14.15215138757839,,,,,,,3250,849.717,,7.430342491
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-01T06:14:15,18 SPCS,ADEOS 2,2002-056A,EARTH,TEME,UTC,SGP4,2022-05-31T19:03:34.853760,14.27608302,0.0002186,98.6064,95.9176,75.6524,284.4899,0,U,27597,999,1359,6.56E-05,1.18E-06,0,7177.873,100.868,801.308,798.169,PAYLOAD,LARGE,JPN,12/14/2002,TNSTA,,3474670,205051433,0 ADEOS 2,1 27597U 02056A   22151.79415340  .00000118  00000-0  65585-4 0  9990,2 27597  98.6064  95.9176 0002186  75.6524 284.4899 14.27608302 13593,,,,,,,3680,807.873,,7.451968914
