CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,,,,,,,AVG_ALTITUDE,,AVG_VELOCITY
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-02T17:55:29,18 SPCS,ORBCOMM FM 10,1997-084B,EARTH,TEME,UTC,SGP4,2022-06-02T14:12:35.000928,14.39661975,0.0004136,45.0172,268.6587,19.9792,340.1219,0,U,25113,999,45621,0.00020029,4.89E-06,0,7137.753,100.023,762.57,756.665,PAYLOAD,MEDIUM,ORB,12/23/1997,ERAS,,3477482,205162193,0 ORBCOMM FM 10,1 25113U 97084B   22153.59207177  .00000489  00000-0  20029-3 0  9998,2 25113  45.0172 268.6587 0004136  19.9792 340.1219 14.39661975456215,,,,,,,767.753,,7.472882642
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,ORBCOMM FM 11,1997-084C,EARTH,TEME,UTC,SGP4,2022-06-02T16:45:19.436832,14.39581225,0.000494,45.0158,267.7431,21.3409,338.7645,0,U,25114,999,28120,0.00019465,4.70E-06,0,7138.019,100.029,763.411,756.358,PAYLOAD,MEDIUM,ORB,12/23/1997,ERAS,,3477983,205197774,0 ORBCOMM FM 11,1 25114U 97084C   22153.69814163  .00000470  00000-0  19465-3 0  9991,2 25114  45.0158 267.7431 0004940  21.3409 338.7645 14.39581225281203,,,,,,,768.019,,7.472743402
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T06:56:14,18 SPCS,ORBCOMM FM 12,1997-084D,EARTH,TEME,UTC,SGP4,2022-06-03T00:09:35.067168,14.39602109,0.0003779,45.0164,265.9444,25.2717,334.8317,0,U,25115,999,28128,0.00017398,4.05E-06,0,7137.95,100.028,762.513,757.118,PAYLOAD,MEDIUM,ORB,12/23/1997,ERAS,,3478257,205220743,0 ORBCOMM FM 12,1 25115U 97084D   22154.00665587  .00000405  00000-0  17398-3 0  9993,2 25115  45.0164 265.9444 0003779  25.2717 334.8317 14.39602109281285,,,,,,,767.95,,7.47277952
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,ORBCOMM FM 9,1997-084E,EARTH,TEME,UTC,SGP4,2022-06-02T19:10:43.234464,14.39587901,0.0005052,45.0171,267.4819,3.7602,356.3284,0,U,25116,999,28122,0.00016903,3.90E-06,0,7137.997,100.029,763.468,756.256,PAYLOAD,MEDIUM,ORB,12/23/1997,ERAS,,3477983,205196273,0 ORBCOMM FM 9,1 25116U 97084E   22153.79911151  .00000390  00000-0  16903-3 0  9994,2 25116  45.0171 267.4819 0005052   3.7602 356.3284 14.39587901281225,,,,,,,767.997,,7.472754918
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,ORBCOMM FM 5,1997-084F,EARTH,TEME,UTC,SGP4,2022-06-02T16:23:14.832384,14.39811993,0.0001613,45.017,268.0035,58.8289,301.2718,0,U,25117,999,28029,0.00019792,4.84E-06,0,7137.257,100.013,760.273,757.97,PAYLOAD,MEDIUM,ORB,12/23/1997,ERAS,,3477983,205197025,0 ORBCOMM FM 5,1 25117U 97084F   22153.68281056  .00000484  00000-0  19792-3 0  9990,2 25117  45.0170 268.0035 0001613  58.8289 301.2718 14.39811993280291,,,,,,,767.257,,7.4731423
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,ORBCOMM FM 6,1997-084G,EARTH,TEME,UTC,SGP4,2022-06-02T18:27:06.818688,14.39658463,0.0001134,45.0164,267.3319,90.9741,68.1324,0,U,25118,999,28122,0.00019907,4.85E-06,0,7137.764,100.024,760.439,758.82,PAYLOAD,MEDIUM,ORB,12/23/1997,ERAS,,3477983,205197274,0 ORBCOMM FM 6,1 25118U 97084G   22153.76882892  .00000485  00000-0  19907-3 0  9994,2 25118  45.0164 267.3319 0001134  90.9741  68.1324 14.39658463281227,,,,,,,767.764,,7.472876884
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,ORBCOMM FM 7,1997-084H,EARTH,TEME,UTC,SGP4,2022-06-02T16:59:59.173728,14.39642171,0.0002122,45.0159,267.9559,31.1961,328.9014,0,U,25119,999,28121,0.00018314,4.35E-06,0,7137.818,100.025,761.198,758.168,PAYLOAD,MEDIUM,ORB,12/23/1997,ERAS,,3477983,205196524,0 ORBCOMM FM 7,1 25119U 97084H   22153.70832377  .00000435  00000-0  18314-3 0  9998,2 25119  45.0159 267.9559 0002122  31.1961 328.9014 14.39642171281214,,,,,,,767.818,,7.472848617
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T02:31:39,18 SPCS,ORBCOMM FM 4,1998-007C,EARTH,TEME,UTC,SGP4,2022-06-02T21:25:25.532832,14.30330009,0.0044228,107.9897,25.7656,17.8782,342.39,0,U,25159,999,26527,0.00017737,3.34E-06,0,7168.765,100.676,822.336,758.924,PAYLOAD,MEDIUM,ORB,2/10/1998,AFWTR,,3477983,205196275,0 ORBCOMM FM 4,1 25159U 98007C   22153.89265663  .00000334  00000-0  17737-3 0  9992,2 25159 107.9897  25.7656 0044228  17.8782 342.3900 14.30330009265275,,,,,,,798.765,,7.456701319
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-02T17:55:29,18 SPCS,CELESTIS 02/TAURUS R/B,1998-007D,EARTH,TEME,UTC,SGP4,2022-06-02T11:19:43.140576,14.21624948,0.0061555,107.9801,236.5906,137.0902,234.4242,0,U,25160,999,26073,4.35E-05,-3.20E-07,0,7198,101.293,864.172,775.557,ROCKET BODY,LARGE,US,2/10/1998,AFWTR,,3477482,205161695,0 CELESTIS 02/TAURUS R/B,1 25160U 98007D   22153.47202709 -.00000032  00000-0  43497-4 0  9999,2 25160 107.9801 236.5906 0061555 137.0902 234.4242 14.21624948260737,,,,,,,828,,7.441543048
2,GENERATED VIA SPACE-TRACK.ORG API,2022-06-03T06:56:14,18 SPCS,NOAA 15,1998-030A,EARTH,TEME,UTC,SGP4,2022-06-03T02:34:36.849216,14.26133241,0.0009927,98.6446,183.83,346.2932,13.7977,0,U,25338,999,25122,7.07E-05,1.25E-06,0,7182.822,100.972,811.817,797.557,PAYLOAD,LARGE,US,5/13/1998,AFWTR,,3478304,205221753,0 NOAA 15,1 25338U 98030A   22154.10737094  .00000125  00000-0  70650-4 0  9996,2 25338  98.6446 183.8300 0009927 346.2932  13.7977 14.26133241251222,,,,,,,812.822,,7.44940125
